Time(s),Raw_ADC,Voltage(V),Temp(C)
0,21781,1.0968,21.47
1,22165,1.1161,21.74
2,21029,1.0589,20.93
3,18836,0.9485,20
4,18436,0.9283,20
5,20725,1.0436,20.71
6,17732,0.8929,20
7,22693,1.1427,22.12
8,29031,1.4618,26.67
9,21797,1.0976,21.48
10,18372,0.9251,20
11,21397,1.0774,21.19
12,24742,1.2459,23.59
13,22149,1.1153,21.73
14,19428,0.9783,20
15,19524,0.9831,20
16,22597,1.1379,22.05
17,22405,1.1282,21.92
18,22245,1.1201,21.8
19,22901,1.1532,22.27
20,22325,1.1242,21.86
22,24710,1.2443,23.57
23,23269,1.1717,22.54
24,21477,1.0815,21.25
25,27270,1.3732,25.41
26,20549,1.0347,20.59
27,23253,1.1709,22.53
28,28054,1.4127,25.97
29,24325,1.2249,23.29
30,24213,1.2192,23.21
31,20420,1.0282,20.49
32,26518,1.3353,24.87
33,23989,1.208,23.05
34,29623,1.4917,27.1
35,24021,1.2096,23.08
36,24277,1.2225,23.26
37,25318,1.2749,24.01
38,27974,1.4086,25.91
39,24902,1.2539,23.71
40,28438,1.432,26.25
41,24485,1.2329,23.41
43,23493,1.183,22.7
44,22213,1.1185,21.78
45,21333,1.0742,21.15
46,24565,1.237,23.47
47,21957,1.1056,21.6
48,23765,1.1967,22.89
49,23621,1.1894,22.79
50,27318,1.3756,25.44
51,24069,1.212,23.11
52,26182,1.3184,24.63
53,30919,1.5569,28.03
54,28951,1.4578,26.61
55,24469,1.2321,23.4
56,30231,1.5223,27.53
57,22421,1.129,21.93
58,33160,1.6698,29.63
59,31271,1.5746,28.28
60,27110,1.3651,25.29
61,25894,1.3039,24.42
62,26566,1.3377,24.9
63,29175,1.4691,26.77
65,27558,1.3877,25.61
66,26086,1.3136,24.56
67,25734,1.2958,24.31
68,27270,1.3732,25.41
69,26326,1.3256,24.73
70,26086,1.3136,24.56
71,28422,1.4312,26.23
72,27366,1.378,25.48
73,29079,1.4643,26.71
74,35304,1.7777,31.17
75,35128,1.7689,31.05
76,29335,1.4772,26.89
77,28086,1.4143,25.99
78,31143,1.5682,28.19
79,28679,1.4441,26.42
80,28887,1.4546,26.57
81,22885,1.1524,22.26
82,27062,1.3627,25.26
83,27846,1.4022,25.82
85,27398,1.3796,25.5
86,28711,1.4457,26.44
87,25542,1.2862,24.17
88,29703,1.4957,27.15
89,28550,1.4376,26.33
90,28839,1.4522,26.53
91,31767,1.5996,28.63
92,24758,1.2467,23.61
93,26374,1.3281,24.76
94,29415,1.4812,26.95
95,26854,1.3522,25.11
96,30807,1.5513,27.95
97,30679,1.5448,27.85
98,30903,1.5561,28.01
99,31079,1.565,28.14
100,26966,1.3579,25.19
101,33688,1.6964,30.01
102,26310,1.3248,24.72
104,35560,1.7906,31.36
105,29543,1.4876,27.04
106,29879,1.5046,27.28
107,28614,1.4409,26.37
108,31207,1.5714,28.23
109,28166,1.4183,26.05
110,30727,1.5473,27.89
111,30055,1.5134,27.41
112,31591,1.5908,28.51
113,28486,1.4344,26.28
114,34408,1.7326,30.53
115,31303,1.5763,28.3
116,32455,1.6343,29.13
117,31623,1.5924,28.53
118,30311,1.5263,27.59
119,32039,1.6133,28.83
120,28743,1.4473,26.46
121,30679,1.5448,27.85
123,30471,1.5344,27.7
124,34280,1.7262,30.44
125,35608,1.793,31.39
126,33224,1.673,29.68
