???????,????????????,,,,,,,,,
Temp(C),Time(s),Raw_ADC,Voltage(V),Temp(C),,,,,,
20,0,21189,1.067,21.04,,,,,,
20,1,20805,1.0476,20.77,,,,,,
20,2,20949,1.0549,20.87,,,,,,
20,4,14851,0.7478,20,,,,,,
20,5,20917,1.0533,20.85,,,,,,
20,6,20533,1.0339,20.57,,,,,,
20,7,21061,1.0605,20.95,,,,,,
20,8,21333,1.0742,21.15,,,,,,
20,9,19140,0.9638,20,,,,,,
20,10,20052,1.0097,20.23,,,,,,
20,11,20100,1.0121,20.26,,,,,,
20,12,21061,1.0605,20.95,,,,,,
20,13,24517,1.2345,23.43,,,,,,
20,14,24085,1.2128,23.12,,,,,,
20,15,21445,1.0799,21.23,,,,,,
20,16,21461,1.0807,21.24,,,,,,
20,17,21445,1.0799,21.23,,,,,,
20,18,19652,0.9896,20,,,,,,
20,19,19780,0.996,20.03,,,,,,
20,20,18916,0.9525,20,,,,,,
20,21,22757,1.1459,22.17,,,,,,
20,22,24133,1.2152,23.16,,,,,,
20,23,16980,0.855,20,,,,,,
20,25,21477,1.0815,21.25,,,,,,
20,26,21653,1.0903,21.38,,,,,,
20,27,21669,1.0911,21.39,,,,,,
20,28,22101,1.1129,21.7,,,,,,
20,29,21589,1.0871,21.33,,,,,,
20,30,23413,1.179,22.64,,,,,,
20,31,22933,1.1548,22.3,,,,,,
20,32,22549,1.1354,22.02,,,,,,
20,33,20565,1.0355,20.6,,,,,,
20,34,22869,1.1516,22.25,,,,,,
20,35,22853,1.1508,22.24,,,,,,
20,37,22821,1.1491,22.22,,,,,,
20,38,22085,1.1121,21.69,,,,,,
20,39,23461,1.1814,22.67,,,,,,
20,40,23893,1.2031,22.98,,,,,,
20,41,21173,1.0662,21.03,,,,,,
20,42,22485,1.1322,21.97,,,,,,
20,43,22373,1.1266,21.89,,,,,,
20,44,22021,1.1089,21.64,,,,,,
20,45,23445,1.1806,22.66,,,,,,
20,46,27398,1.3796,25.5,,,,,,
20,47,22245,1.1201,21.8,,,,,,
20,48,23125,1.1645,22.43,,,,,,
20,50,23701,1.1935,22.85,,,,,,
20,51,22501,1.133,21.99,,,,,,
20,52,23621,1.1894,22.79,,,,,,
20,53,21173,1.0662,21.03,,,,,,
20,54,22533,1.1346,22.01,,,,,,
20,55,24838,1.2507,23.66,,,,,,
20,56,24037,1.2104,23.09,,,,,,
20,57,22581,1.1371,22.04,,,,,,
20,58,24069,1.212,23.11,,,,,,
20,59,21861,1.1008,21.53,,,,,,
20,60,21189,1.067,21.04,,,,,,
20,62,22197,1.1177,21.77,,,,,,
20,63,24165,1.2168,23.18,,,,,,
20,64,24774,1.2475,23.62,,,,,,
20,65,25382,1.2781,24.05,,,,,,
20,66,23173,1.1669,22.47,,,,,,
20,67,24565,1.237,23.47,,,,,,
20,68,24245,1.2209,23.24,,,,,,
20,69,27702,1.3949,25.72,,,,,,
20,70,24598,1.2386,23.49,,,,,,
20,71,25062,1.262,23.82,,,,,,
20,72,24902,1.2539,23.71,,,,,,
20,74,25318,1.2749,24.01,,,,,,
20,75,25254,1.2717,23.96,,,,,,
20,76,25926,1.3055,24.44,,,,,,
20,77,25302,1.2741,24,,,,,,
20,78,25238,1.2709,23.95,,,,,,
20,79,25126,1.2652,23.87,,,,,,
20,80,23813,1.1991,22.93,,,,,,
20,81,24181,1.2176,23.19,,,,,,
20,82,29623,1.4917,27.1,,,,,,
20,83,25222,1.27,23.94,,,,,,
20,84,22837,1.15,22.23,,,,,,
20,86,26422,1.3305,24.8,,,,,,
25,87,26662,1.3426,24.97,,,,,,
25,88,27350,1.3772,25.47,,,,,,
25,89,26774,1.3482,25.05,,,,,,
25,90,27030,1.3611,25.24,,,,,,
25,91,30439,1.5327,27.68,,,,,,
25,92,27110,1.3651,25.29,,,,,,
25,93,29735,1.4973,27.18,,,,,,
25,94,27574,1.3885,25.63,,,,,,
25,95,26806,1.3498,25.07,,,,,,
25,97,25878,1.3031,24.41,,,,,,
25,98,22693,1.1427,22.12,,,,,,
25,99,25654,1.2918,24.25,,,,,,
